ID_CP,COD_POSTAL,CODIGO_INE,RentMedPer_count,RentMedPer_min,RentMedPer_max,RentMedPer_mean,RentMedHog_count,RentMedHog_min,RentMedHog_max,RentMedHog_mean,NPRO,NMUN
10010000001,"01193",1001,3,15473.000000,19356.000000,17882.000000,3,37739.000000,53376.000000,45838.000000,Araba/Álava,Alegría-Dulantzi
10010000002,"01240",1001,5,14811.000000,19356.000000,17414.600000,5,37739.000000,53376.000000,44377.400000,Araba/Álava,Alegría-Dulantzi
10020000001,"01468",1002,7,13300.000000,17490.000000,15194.571429,7,25239.000000,39761.000000,32933.571429,Araba/Álava,Amurrio
10020000002,"01470",1002,11,13605.000000,17767.000000,15991.090909,11,33330.000000,43412.000000,39301.727273,Araba/Álava,Amurrio
10020000003,"01468",1002,5,14521.000000,17691.000000,15916.400000,5,31268.000000,42507.000000,37670.000000,Araba/Álava,Amurrio
10020000004,"01450",1002,7,14521.000000,21433.000000,16886.000000,7,31268.000000,53167.000000,40841.428571,Araba/Álava,Amurrio
10030000001,"01165",1003,7,16518.000000,21086.000000,18389.714286,7,39334.000000,51737.000000,44791.000000,Araba/Álava,Aramaio
10030000002,"01169",1003,6,17494.000000,21117.000000,19373.333333,6,42000.000000,53014.000000,48001.833333,Araba/Álava,Aramaio
10030000003,"01160",1003,4,17494.000000,20963.000000,19508.500000,4,44817.000000,51737.000000,49322.000000,Araba/Álava,Aramaio
10040000001,"01478",1004,4,12345.000000,19346.000000,15979.500000,4,25630.000000,47563.000000,38673.500000,Araba/Álava,Artziniega
10040000002,"01474",1004,2,15651.000000,16576.000000,16113.500000,2,38089.000000,43412.000000,40750.500000,Araba/Álava,Artziniega
10060000001,"01211",1006,3,15279.000000,16905.000000,15979.666667,3,36433.000000,41358.000000,38856.000000,Araba/Álava,Armiñón
10060000002,"01220",1006,4,14332.000000,16905.000000,15567.750000,4,30111.000000,41358.000000,36669.750000,Araba/Álava,Armiñón
10080000001,"01520",1008,3,19356.000000,22484.000000,20526.333333,3,48158.000000,58424.000000,53319.333333,Araba/Álava,Arratzua-Ubarrundia
10080000002,"01520",1008,5,16575.000000,22484.000000,19562.000000,5,42395.000000,58424.000000,47972.000000,Araba/Álava,Arratzua-Ubarrundia
10080000003,"01510",1008,4,16575.000000,22484.000000,19454.750000,4,42395.000000,58424.000000,48887.750000,Araba/Álava,Arratzua-Ubarrundia
10090000001,"01208",1009,3,15711.000000,20192.000000,17859.000000,3,34211.000000,53446.000000,43554.666667,Araba/Álava,Asparrena
10090000002,"01260",1009,2,15411.000000,15711.000000,15561.000000,2,34211.000000,35226.000000,34718.500000,Araba/Álava,Asparrena
10090000003,"01208",1009,2,15711.000000,17674.000000,16692.500000,2,34211.000000,43007.000000,38609.000000,Araba/Álava,Asparrena
10090000004,"01250",1009,1,15711.000000,15711.000000,15711.000000,1,34211.000000,34211.000000,34211.000000,Araba/Álava,Asparrena
10100000001,"01477",1010,4,11261.000000,16576.000000,13585.250000,4,22522.000000,43412.000000,31879.500000,Araba/Álava,Ayala/Aiara
10100000002,"01408",1010,4,13605.000000,16576.000000,15192.000000,4,33330.000000,43412.000000,38298.750000,Araba/Álava,Ayala/Aiara
10100000003,"01476",1010,3,15187.000000,16576.000000,15721.000000,3,36228.000000,43412.000000,39955.000000,Araba/Álava,Ayala/Aiara
10100000004,"01478",1010,4,12345.000000,19346.000000,15979.500000,4,25630.000000,47563.000000,38673.500000,Araba/Álava,Ayala/Aiara
10100000005,"01479",1010,6,11261.000000,16576.000000,14836.666667,6,22522.000000,43412.000000,36144.833333,Araba/Álava,Ayala/Aiara
10100000006,"01470",1010,3,15606.000000,16576.000000,16116.666667,3,35636.000000,43412.000000,39603.000000,Araba/Álava,Ayala/Aiara
10110000001,"01307",1011,8,10279.000000,14522.000000,12124.375000,8,24764.000000,28810.000000,26979.500000,Araba/Álava,Baños de Ebro/Mañueta
10130000001,"01206",1013,8,14811.000000,21086.000000,18125.250000,8,35840.000000,53376.000000,44567.000000,Araba/Álava,Barrundia
10130000002,"01208",1013,5,17674.000000,21117.000000,19228.600000,5,43007.000000,53446.000000,47876.200000,Araba/Álava,Barrundia
10140000001,"01211",1014,6,14332.000000,16991.000000,15733.833333,6,30111.000000,41358.000000,36720.000000,Araba/Álava,Berantevilla
10140000002,"01212",1014,2,15141.000000,16905.000000,16023.000000,2,34997.000000,38777.000000,36887.000000,Araba/Álava,Berantevilla
10140000003,"01220",1014,3,14332.000000,16905.000000,15664.000000,3,30111.000000,38777.000000,35107.000000,Araba/Álava,Berantevilla
10160000001,"01216",1016,3,14332.000000,17187.000000,16183.666667,3,30111.000000,37820.000000,33812.000000,Araba/Álava,Bernedo
10160000002,"01118",1016,6,12890.000000,23260.000000,16487.166667,6,29662.000000,51009.000000,34892.833333,Araba/Álava,Bernedo
10160000003,"01194",1016,7,14332.000000,19739.000000,17419.428571,7,30111.000000,53376.000000,41015.428571,Araba/Álava,Bernedo
10160000004,"01128",1016,2,17032.000000,17187.000000,17109.500000,2,33505.000000,37820.000000,35662.500000,Araba/Álava,Bernedo
10160000005,"01128",1016,4,14332.000000,17187.000000,16033.000000,4,30111.000000,37820.000000,33244.250000,Araba/Álava,Bernedo
10170000001,"01110",1017,7,15581.000000,17221.000000,16803.857143,7,28034.000000,35631.000000,33961.428571,Araba/Álava,Campezo/Kanpezu
10170000002,"01128",1017,4,15581.000000,17221.000000,16755.250000,4,31541.000000,37820.000000,34624.250000,Araba/Álava,Campezo/Kanpezu
10170000003,"01117",1017,4,14354.000000,17221.000000,16085.750000,4,27210.000000,37820.000000,33050.500000,Araba/Álava,Campezo/Kanpezu
10180000001,"01138",1018,7,15254.000000,22484.000000,19091.142857,7,32124.000000,58424.000000,46692.571429,Araba/Álava,Zigoitia
10180000002,"01196",1018,3,16575.000000,22484.000000,19964.333333,3,42395.000000,58424.000000,50562.666667,Araba/Álava,Zigoitia
10190000001,"01308",1019,6,10747.000000,17032.000000,13149.666667,6,25280.000000,33505.000000,30088.333333,Araba/Álava,Kripan
10200000001,"01439",1020,6,13300.000000,21433.000000,17017.333333,6,25239.000000,53167.000000,38327.166667,Araba/Álava,Kuartango
10200000002,"01430",1020,1,17490.000000,17490.000000,17490.000000,1,32927.000000,32927.000000,32927.000000,Araba/Álava,Kuartango
10210000001,"01192",1021,5,18616.000000,22484.000000,20256.200000,5,45152.000000,58424.000000,50426.000000,Araba/Álava,Elburgo/Burgelu
10210000002,"01192",1021,5,18616.000000,22484.000000,19802.400000,5,45152.000000,58424.000000,50301.800000,Araba/Álava,Elburgo/Burgelu
10210000003,"01193",1021,3,17032.000000,19356.000000,18401.666667,3,33505.000000,53376.000000,44426.666667,Araba/Álava,Elburgo/Burgelu
10220000001,"01340",1022,7,9916.000000,15003.000000,12399.428571,7,24239.000000,35165.000000,29331.000000,Araba/Álava,Elciego
